id;categoria;producto;formato_mm;papel;gramaje_g;acabado;cantidad;imprenta;gama;precio_producto;precio_envio;precio_total_sin_iva;precio_total_con_iva;precio_principal;plazo_min_dias;plazo_max_dias;disponible;observaciones
tarjetas-tarjeta-visita-85x55-couche-350g-sin-plastificar-100-360imprimir;Tarjetas;Tarjeta visita;85x55;Couche;350 g;Sin plastificar;100;360imprimir;basico;12,71;5,99;18,7;22,63;22,63;7;8;VERDADERO;5€+IVA dto. En primera compra
tarjetas-tarjeta-visita-85x55-couche-350g-sin-plastificar-250-360imprimir;Tarjetas;Tarjeta visita;85x55;Couche;350 g;Sin plastificar;250;360imprimir;basico;15,64;5,99;21,63;26,1723;26,1723;7;8;VERDADERO;5€+IVA dto. En primera compra
